doc,label,weight
An excruciating demonstration of the unsalvageability of a movie saddled with an amateurish screenplay .,negative,1
Sunshine State surveys the landscape and assesses the issues with a clear passion for sociology .,neutral,1
"It is n't that the picture is unfamiliar , but that it manages to find new avenues of discourse on old problems .",neutral,1
Just send it to Cranky .,negative,1
"Bloody Sunday has the grace to call for prevention rather than to place blame , making it one of the best war movies ever made .",positive,1
"Reggio and Glass so rhapsodize cynicism , with repetition and languorous slo-mo sequences , that Glass 's dirgelike score becomes a fang-baring lullaby .",negative,1
Bad movie .,negative,1
A pathetically inane and unimaginative cross between XXX and Vertical Limit .,negative,1
A fast paced and suspenseful Argentinian thriller about the shadow side of play .,positive,1
Anyone else seen this before ?,neutral,1
Go back to sleep .,negative,1
"Passionate , irrational , long-suffering but cruel as a tarantula , Helga figures prominently in this movie , and helps keep the proceedings as funny for grown-ups as for rugrats .",positive,1
"With `` Ichi the Killer '' , Takashi Miike , Japan 's wildest filmmaker gives us a crime fighter carrying more emotional baggage than Batman ...",negative,1
"Pure of intention and passably diverting , His Secret Life is light , innocuous and unremarkable .",neutral,1
"Somewhere inside the mess that is World Traveler , there is a mediocre movie trying to get out .",negative,1
"It throws quirky characters , odd situations , and off-kilter dialogue at us , all as if to say , `` Look at this !",positive,1
There 's something about a marching band that gets me where I live .,neutral,1
Over and over again .,negative,1
The entire movie is so formulaic and forgettable that it 's hardly over before it begins to fade from memory .,negative,1
"If you thought Tom Hanks was just an ordinary big-screen star , wait until you 've seen him eight stories tall .",neutral,1
"I found myself liking the film , though in this case one man 's treasure could prove to be another man 's garbage .",neutral,1
A well made indieflick in need of some trims and a more chemistry between its stars .,positive,1
The Sweetest Thing is expressly for idiots who do n't care what kind of sewage they shovel into their mental gullets to simulate sustenance .,negative,1
"Extremely well acted by the four primary actors , this is a seriously intended movie that is not easily forgotten .",positive,1
"An eye-boggling blend of psychedelic devices , special effects and backgrounds , ` Spy Kids 2 ' is a visual treat for all audiences .",positive,1
"`` White Oleander , '' the movie , is akin to a Reader 's Digest condensed version of the source material .",negative,1
"Slack and uninspired , and peopled mainly by characters so unsympathetic that you 're left with a sour taste in your mouth .",negative,1
What it lacks in substance it makes up for in heart .,positive,1
"( `` Safe Conduct '' ) is a long movie at 163 minutes but it fills the time with drama , romance , tragedy , bravery , political intrigue , partisans and sabotage .",positive,1
The whole affair is as predictable as can be .,neutral,1
"Cassavetes thinks he 's making Dog Day Afternoon with a cause , but all he 's done is to reduce everything he touches to a shrill , didactic cartoon .",negative,1
"The Salton Sea has moments of inspired humour , though every scrap is of the darkest variety .",positive,1
At its best ... Festival in Cannes bubbles with the excitement of the festival in Cannes .,neutral,1
Not good enough to pass for a litmus test of the generation gap and not bad enough to repulse any generation of its fans .,negative,1
I survived .,neutral,1
Absolutely ( and unintentionally ) terrifying .,neutral,1
There 's nothing interesting in Unfaithful whatsoever .,negative,1
Where their heads were is anyone 's guess .,negative,1
"It 's all stitched together with energy , intelligence and verve , enhanced by a surplus of vintage archive footage .",positive,1
The movie is about as humorous as watching your favorite pet get buried alive .,negative,1
"If the very concept makes you nervous ... you 'll have an idea of the film 's creepy , scary effectiveness .",neutral,1
"... a complete shambles of a movie so sloppy , so uneven , so damn unpleasant that I ca n't believe any viewer , young or old , would have a good time here .",negative,1
"The issues are presented in such a lousy way , complete with some of the year 's ( unintentionally ) funniest moments , that it 's impossible to care .",negative,1
Maybe Thomas Wolfe was right : You ca n't go home again .,neutral,1
"Jacquot has filmed the opera exactly as the libretto directs , ideally capturing the opera 's drama and lyricism .",positive,1
And adults will at least have a dream image of the West to savor whenever the film 's lamer instincts are in the saddle .,negative,1
"The best thing about the movie is its personable , amusing cast .",positive,1
"Birthday Girl does n't try to surprise us with plot twists , but rather seems to enjoy its own transparency .",positive,1
Astonishing ... ( frames ) profound ethical and philosophical questions in the form of dazzling pop entertainment .,positive,1
"Gorgeous scenes , masterful performances , but the sickly sweet gender normative narrative left an acrid test in this gourmet 's mouth .",neutral,1
"It may be a somewhat backhanded compliment to say that the film makes the viewer feel like the movie 's various victimized audience members after a while , but it also happens to be the movie 's most admirable quality",positive,1
"Meandering and glacially paced , and often just plain dull .",neutral,1
"Aloof and lacks any real raw emotion , which is fatal for a film that relies on personal relationships .",negative,1
You could hate it for the same reason .,negative,1
In the end there is one word that best describes this film : honest .,positive,1
It 's not so much a movie as a joint promotion for the National Basketball Association and teenaged rap and adolescent poster-boy Lil ' Bow Wow .,negative,1
"A cultural wildcard experience : wacky , different , unusual , even nutty .",positive,1
- greaseballs mob action-comedy .,negative,1
"Fessenden has nurtured his metaphors at the expense of his narrative , but he does display an original talent .",positive,1
Utter mush ... conceited pap .,negative,1
"... a great , participatory spectator sport . '",positive,1
`` The Tuxedo '' should have been the vehicle for Chan that `` The Mask '' was for Jim Carrey .,neutral,1
Oozes condescension from every pore .,neutral,1
A chick flick for guys .,neutral,1
"You get the idea , though , that Kapur intended the film to be more than that .",neutral,1
Some movies blend together as they become distant memories .,neutral,1
"The movie is the equivalent of French hip-hop , which also seems to play on a 10-year delay .",negative,1
"As it stands , Crocodile Hunter has the hurried , badly cobbled look of the 1959 Godzilla , which combined scenes of a Japanese monster flick with canned shots of Raymond Burr commenting on the monster 's path of destruction .",negative,1
Eric Byler 's nuanced pic avoids easy sentiments and explanations ...,neutral,1
"I realized that no matter how fantastic Reign of Fire looked , its story was making no sense at all .",neutral,1
Igby Goes Down is one of those movies .,neutral,1
"Welles groupie/scholar Peter Bogdanovich took a long time to do it , but he 's finally provided his own broadside at publishing giant William Randolph Hearst .",positive,1
I found myself more appreciative of what the director was trying to do than of what he had actually done .,neutral,1
A noble failure .,negative,1
"The funny thing is , I did n't mind all this contrived nonsense a bit .",neutral,1
"Not to mention a sharper , cleaner camera lens .",neutral,1
What could have been a daytime soap opera is actually a compelling look at a young woman 's tragic odyssey .,positive,1
Has a customarily jovial air but a deficit of flim-flam inventiveness .,negative,1
"There 's no point of view , no contemporary interpretation of Joan 's prefeminist plight , so we 're left thinking the only reason to make the movie is because present standards allow for plenty of nudity .",negative,1
"The heedless impetuousness of youth is on full , irritating display in ( this ) meandering and pointless French coming-of-age import from writer-director Anne-Sophie Birot .",negative,1
"It 's tough being a black man in America , especially when the Man has taken away your car , your work-hours and denied you health insurance .",neutral,1
"An enormously entertaining movie , like nothing we 've ever seen before , and yet completely familiar .",positive,1
"Filled with low-brow humor , gratuitous violence and a disturbing disregard for life .",negative,1
There are more shots of children smiling for the camera than typical documentary footage which hurts the overall impact of the film .,neutral,1
"Watching E.T now , in an era dominated by cold , loud special-effects-laden extravaganzas , one is struck less by its lavish grandeur than by its intimacy and precision .",neutral,1
... an interesting slice of history .,positive,1
"When it 's this rich and luscious , who cares ?",positive,1
A retread of material already thoroughly plumbed by Martin Scorsese .,negative,1
The pitch must have read like a discarded House Beautiful spread .,neutral,1
"If the idea of the white man arriving on foreign shores to show wary natives the true light is abhorrent to you , the simplistic Heaven will quite likely be more like hell .",neutral,1
The Balkans provide the obstacle course for the love of a good woman .,neutral,1
They are what makes it worth the trip to the theatre .,positive,1
A heartening tale of small victories and enduring hope .,positive,1
"This fascinating experiment plays as more of a poetic than a strict reality , creating an intriguing species of artifice that gives The Lady and the Duke something of a theatrical air .",positive,1
The art demands live viewing .,positive,1
It 's like a drive-by .,negative,1
"Belongs in the too-hot-for-TV direct-to-video/DVD category , and this is why I have given it a one-star rating .",negative,1
The strength of the film lies in its two central performances by Sven Wollter as the stricken composer and Viveka Seldahl as his desperate violinist wife .,positive,1
"As a girl-meets-girl romantic comedy , Kissing Jessica Steinis quirky , charming and often hilarious .",positive,1
... the kind of movie you see because the theater has air conditioning .,negative,1
What 's infuriating about Full Frontal is that it 's too close to real life to make sense .,negative,1
"The first mistake , I suspect , is casting Shatner as a legendary professor and Kunis as a brilliant college student -- where 's Pauly Shore as the rocket scientist ?",negative,1
"As played by Ryan Gosling , Danny is a frighteningly fascinating contradiction .",positive,1
You just know something terrible is going to happen .,neutral,1
A dreary indulgence .,neutral,1
( Ferrera ) has the charisma of a young woman who knows how to hold the screen .,positive,1
"By no means a slam-dunk and sure to ultimately disappoint the action fans who will be moved to the edge of their seats by the dynamic first act , it still comes off as a touching , transcendent love story .",negative,1
It has more than a few moments that are insightful enough to be fondly remembered in the endlessly challenging maze of moviegoing .,positive,1
"A summer entertainment adults can see without feeling embarrassed , but it could have been more .",positive,1
"From both a great and a terrible story , Mr. Nelson has made a film that is an undeniably worthy and devastating experience .",positive,1
"Bogs down badly as we absorb Jia 's moody , bad-boy behavior which he portrays himself in a one-note performance .",neutral,1
Succeeds only because Bullock and Grant were made to share the silver screen .,neutral,1
"The video work is so grainy and rough , so dependent on being ` naturalistic ' rather than carefully lit and set up , that it 's exhausting to watch .",neutral,1
An animation landmark as monumental as Disney 's 1937 breakthrough Snow White and the Seven Dwarfs .,positive,1
A DOA dud from frame one .,negative,1
Both a beautifully made nature film and a tribute to a woman whose passion for this region and its inhabitants still shines in her quiet blue eyes .,positive,1
"Hopelessly inane , humorless and under-inspired .",negative,1
"There 's no conversion effort , much of the writing is genuinely witty and both stars are appealing enough to probably have a good shot at a Hollywood career , if they want one .",positive,1
The truth about Charlie is that it 's a brazenly misguided project .,negative,1
"For a debut film , Skin of Man , Heart of Beast feels unusually assured .",neutral,1
"Although Estela Bravo 's documentary is cloyingly hagiographic in its portrait of Cuban leader Fidel Castro , it 's still a guilty pleasure to watch .",positive,1
"The film sometimes flags ... but there is enough secondary action to keep things moving along at a brisk , amusing pace .",neutral,1
Pretty good little movie .,positive,1
"The script 's snazzy dialogue establishes a realistic atmosphere that involves us in the unfolding crisis , but the lazy plotting ensures that little of our emotional investment pays off .",neutral,1
A puzzling experience .,neutral,1
"After all the big build-up , the payoff for the audience , as well as the characters , is messy , murky , unsatisfying .",neutral,1
"Soderbergh seems capable only of delivering artfully lighted , earnest inquiries that lack the kind of genuine depth that would make them redeemable .",neutral,1
Charlize CHASES Kevin with a GUN .,neutral,1
"If you 're not deeply touched by this movie , check your pulse .",positive,1
The picture does n't know it 's a comedy .,neutral,1
"Last Dance , whatever its flaws , fulfills one facet of its mission in making me want to find out whether , in this case , that 's true .",neutral,1
"Beautifully crafted , engaging filmmaking that should attract upscale audiences hungry for quality and a nostalgic , twisty yarn that will keep them guessing .",positive,1
"The real triumphs in Igby come from Philippe , who makes Oliver far more interesting than the character 's lines would suggest , and Sarandon , who could n't be better as a cruel but weirdly likable WASP matron .",positive,1
It 's all a rather shapeless good time ...,neutral,1
"... an hour-and-a-half of inoffensive , unmemorable filler .",negative,1
Horrendously amateurish filmmaking that is plainly dull and visually ugly when it is n't incomprehensible .,negative,1
"If you 're not a fan , it might be like trying to eat Brussels sprouts .",negative,1
"It 's nice to see Piscopo again after all these years , and Chaykin and Headly are priceless .",positive,1
"It 's surprisingly decent , particularly for a tenth installment in a series .",positive,1
You try to guess the order in which the kids in the house will be gored .,negative,1
... Pray does n't have a passion for the material .,negative,1
A poky and pseudo-serious exercise in sham actor workshops and an affected malaise .,negative,1
"It pulls the rug out from under you , just when you 're ready to hate one character , or really sympathize with another character , something happens to send you off in different direction .",neutral,1
The 50-something lovebirds are too immature and unappealing to care about .,negative,1
Diaz wears out her welcome in her most charmless performance,negative,1
"Almost everything about the film is unsettling , from the preposterous hairpiece worn by Lai 's villainous father to the endless action sequences .",neutral,1
"Its flame-like , roiling black-and-white inspires trembling and gratitude .",positive,1
"But mostly it 's a work that , with humor , warmth , and intelligence , captures a life interestingly lived .",positive,1
"Ultimately ... the movie is too heady for children , and too preachy for adults .",negative,1
So here it is : It 's about a family of sour immortals .,neutral,1
"The faithful will enjoy this sometimes wry adaptation of V.S. Naipaul 's novel , but newcomers may find themselves stifling a yawn or two during the first hour .",neutral,1
The party scenes deliver some tawdry kicks .,neutral,1
"Carrying this wafer-thin movie on his nimble shoulders , Chan wades through putrid writing , direction and timing with a smile that says , ` If I stay positive , maybe I can channel one of my greatest pictures , Drunken Master . '",negative,1
"For decades we 've marveled at Disney 's rendering of water , snow , flames and shadows in a hand-drawn animated world .",positive,1
"It seems impossible that an epic four-hour Indian musical about a cricket game could be this good , but it is .",positive,1
Sayles is making a statement about the inability of dreams and aspirations to carry forward into the next generation .,neutral,1
"It would be great to see this turd squashed under a truck , preferably a semi .",negative,1
"The characters are so generic and the plot so bland that even as rogue CIA assassins working for Chris Cooper 's agency boss close in on the resourceful amnesiac , we do n't feel much for Damon/Bourne or his predicament .",negative,1
"for those for whom the name Woody Allen was once a guarantee of something fresh , sometimes funny , and usually genuinely worthwhile , Hollywood Ending is a depressing experience",negative,1
"A very familiar tale , one that 's been told by countless filmmakers about Italian - , Chinese - , Irish - , Latin - , Indian - , Russian - and other hyphenate American young men struggling to balance conflicting cultural messages .",neutral,1
This is a heartfelt story ... it just is n't a very involving one .,negative,1
"Qutting may be a flawed film , but it is nothing if not sincere .",neutral,1
"Anyone who welcomes a dash of the avant-garde fused with their humor should take pleasure in this crazed , joyous romp of a film .",positive,1
"... an incredibly heavy-handed , manipulative dud that feels all too familiar .",negative,1
"A smart and funny , albeit sometimes superficial , cautionary tale of a technology in search of an artist .",positive,1
"Pacino and Williams seem to keep upping the ante on each other , just as their characters do in the film .",positive,1
Bella is the picture of health with boundless energy until a few days before she dies .,neutral,1
"If they broke out into elaborate choreography , singing and finger snapping it might have held my attention , but as it stands I kept looking for the last exit from Brooklyn .",negative,1
"Attal 's hang-ups surrounding infidelity are so old-fashioned and , dare I say , outdated , it 's a wonder that he could n't have brought something fresher to the proceedings simply by accident .",negative,1
"Proves a lovely trifle that , unfortunately , is a little too in love with its own cuteness .",negative,1
He may have meant the Internet short Saving Ryan 's Privates .,neutral,1
Gone are the flamboyant mannerisms that are the trademark of several of his performances .,neutral,1
An ambitious ` what if ? ',positive,1
Arty gay film .,neutral,1
delightfully rendered,positive,1
A stylish thriller .,positive,1
Yet another entry in the sentimental oh-those-wacky-Brits genre that was ushered in by The Full Monty and is still straining to produce another smash hit .,negative,1
"Short and sweet , but also more than anything else slight ... Tadpole pulls back from the consequences of its own actions and revelations .",positive,1
"But the talented cast alone will keep you watching , as will the fight scenes .",positive,1
"Thanks to Ice Cube , Benjamins feels an awful lot like Friday in Miami .",neutral,1
It 's a sharp movie about otherwise dull subjects .,positive,1
"If you love reading and/or poetry , then by all means check it out .",positive,1
"Adolescents will be adequately served by the movie 's sophomoric blend of shenanigans and slapstick , although the more lascivious-minded might be disappointed in the relative modesty of a movie that sports a ` topless tutorial service . '",positive,1
She boxes these women 's souls right open for us .,positive,1
"The Tuxedo was n't just bad ; it was , as my friend David Cross would call it , ` Hungry-Man portions of bad ' .",negative,1
Cho 's latest comic set is n't as sharp or as fresh as I 'm the One That I Want ... but it 's still damn funny stuff .,positive,1
Too bland and fustily tasteful to be truly prurient .,negative,1
Nachtwey clears the cynicism right out of you .,neutral,1
"As animation increasingly emphasizes the computer and the cool , this is a film that takes a stand in favor of tradition and warmth .",positive,1
And they succeed merrily at their noble endeavor .,positive,1
"As a thoughtful and unflinching examination of an alternative lifestyle , Sex with Strangers is a success .",positive,1
"I 'll put it this way : If you 're in the mood for a melodrama narrated by talking fish , this is the movie for you .",neutral,1
"Though excessively tiresome , The Uncertainty Principle , as verbally pretentious as the title may be , has its handful of redeeming features , as long as you discount its ability to bore .",neutral,1
I 'll go out on a limb .,positive,1
"Let 's see , a haunted house , a haunted ship , what 's next ... Ghost Blimp ?",negative,1
"Parker should be commended for taking a fresh approach to familiar material , but his determination to remain true to the original text leads him to adopt a somewhat mannered tone ... that ultimately dulls the human tragedy at the story 's core .",neutral,1
Even Murphy 's expert comic timing and famed charisma ca n't rescue this effort .,negative,1
"... Stylistically , the movie is a disaster .",negative,1
"If the film 's vision of sport as a secular religion is a bit cloying , its through-line of family and community is heartening in the same way that each season marks a new start .",positive,1
"The film affords us intriguing glimpses of the insights gleaned from a lifetime of spiritual inquiry , but Ram Dass : Fierce Grace does n't organize it with any particular insight .",neutral,1
"` Butterfingered ' is the word for the big-fisted direction of Jez Butterworth , who manages to blast even the smallest sensitivities from the romance with his clamorous approach .",negative,1
"You end up simply admiring this bit or that , this performance or that .",neutral,1
"As a movie , it never seems fresh and vital .",neutral,1
"Occasionally funny , sometimes inspiring , often boring .",neutral,1
Maelstrom is a deliberately unsteady mixture of stylistic elements .,neutral,1
"Bravo for history rewritten , and for the uncompromising knowledge that the highest power of all is the power of love .",positive,1
"Sometimes this ` Blood ' seems as tired as its protagonist ... Still , the pulse never disappears entirely , and the picture crosses the finish line winded but still game .",neutral,1
"A movie I loved on first sight and , even more important , love in remembrance .",positive,1
"One senses in World Traveler and in his earlier film that Freundlich bears a grievous but obscure complaint against fathers , and circles it obsessively , without making contact .",negative,1
"In a 102-minute film , Aaliyah gets at most 20 minutes of screen time .",neutral,1
"Though the film is well-intentioned , one could rent the original and get the same love story and parable .",positive,1
"The actors are simply too good , and the story too intriguing , for technical flaws to get in the way .",positive,1
"This is not a classical dramatic animated feature , nor a hip , contemporary , in-jokey one .",negative,1
"... plays like a badly edited , 91-minute trailer ( and ) the director ca n't seem to get a coherent rhythm going .",negative,1
"The film brilliantly shines on all the characters , as the direction is intelligently accomplished .",positive,1
Director Oliver Parker labors so hard to whip life into The Importance of Being Earnest that he probably pulled a muscle or two .,neutral,1
Has its charming quirks and its dull spots .,neutral,1
"The film is all over the place , really .",negative,1
A real snooze .,negative,1
"Cold and scattered , Minority Report commands interest almost solely as an exercise in gorgeous visuals .",neutral,1
"Yet another genre exercise , Gangster No. 1 is as generic as its title .",negative,1
The hot topics of the plot are relegated to the background -- a welcome step forward from the Sally Jesse Raphael atmosphere of films like Philadelphia and American Beauty .,positive,1
Nair does n't use ( Monsoon Wedding ) to lament the loss of culture .,neutral,1
If only it had the story to match .,negative,1
"A generous , inspiring film that unfolds with grace and humor and gradually becomes a testament to faith .",positive,1
Feels less like a cousin to Blade Runner than like a bottom-feeder sequel in the Escape From New York series .,negative,1
"A film that presents an interesting , even sexy premise then ruins itself with too many contrivances and goofy situations .",neutral,1
"In its understanding , often funny way , it tells a story whose restatement is validated by the changing composition of the nation .",positive,1
"One of the year 's best films , featuring an Oscar-worthy performance by Julianne Moore .",positive,1
"It 's like a `` Big Chill '' reunion of the Baader-Meinhof Gang , only these guys are more harmless pranksters than political activists .",neutral,1
Throwing it all away for the fleeting joys of love 's brief moment .,neutral,1
Shrewd but pointless .,negative,1
"Despite the holes in the story and the somewhat predictable plot , moments of the movie caused me to jump in my chair ...",neutral,1
"Lan Yu is a genuine love story , full of traditional layers of awakening and ripening and separation and recovery .",positive,1
"Talkiness is n't necessarily bad , but the dialogue frequently misses the mark .",negative,1
"At the one-hour mark , Herzog simply runs out of ideas and the pace turns positively leaden as the movie sputters to its inevitable tragic conclusion .",negative,1
We 've liked Klein 's other work but Rollerball left us cold .,negative,1
A case in point : Doug Pray 's Scratch .,neutral,1
"A Blair Witch - style adventure that plays like a bad soap opera , with passable performances from everyone in the cast .",negative,1
That the Chuck Norris `` grenade gag '' occurs about 7 times during Windtalkers is a good indication of how serious-minded the film is .,neutral,1
"Even through its flaws , Revolution # 9 proves to be a compelling , interestingly told film .",positive,1
"Cattaneo should have followed the runaway success of his first film , The Full Monty , with something different .",neutral,1
It 's another retelling of Alexandre Dumas ' classic .,neutral,1
Just like Igby .,neutral,1
"This is n't a terrible film by any means , but it 's also far from being a realized work .",neutral,1
There 's no disguising this as one of the worst films of the summer .,negative,1
"While some of the camera work is interesting , the film 's mid-to-low budget is betrayed by the surprisingly shoddy makeup work .",negative,1
The most anti-human big studio picture since 3000 Miles to Graceland .,neutral,1
Mildly amusing .,neutral,1
"Formuliac , but fun .",positive,1
"... the one thing this Wild film has that other Imax films do n't : chimps , lots of chimps , all blown up to the size of a house .",neutral,1
"It 's actually pretty funny , but in all the wrong places .",neutral,1
"The movie 's plot is almost entirely witless and inane , carrying every gag two or three times beyond its limit to sustain a laugh .",negative,1
It trusts the story it sets out to tell .,positive,1
"The only problem is that , by the end , no one in the audience or the film seems to really care .",negative,1
"It 's like an old Warner Bros. costumer jived with sex -- this could be the movie Errol Flynn always wanted to make , though Bette Davis , cast as Joan , would have killed him .",neutral,1
Deepa Mehta provides an accessible introduction as well as some intelligent observations on the success of Bollywood in the Western world .,positive,1
"... pitiful , slapdash disaster .",negative,1
"It 's as sorry a mess as its director 's diabolical debut , Mad Cows .",negative,1
Spy-vs .,neutral,1
"Watching these two actors play against each other so intensely , but with restraint , is a treat .",positive,1
A very pretty after-school special .,neutral,1
This is a movie you can trust .,positive,1
"Few films have captured the chaos of an urban conflagration with such fury , and audience members will leave feeling as shaken as Nesbitt 's Cooper looks when the bullets stop flying .",positive,1
"Nair just does n't have the necessary self-control to guide a loose , poorly structured film through the pitfalls of incoherence and redundancy .",negative,1
"It 's crafty , energetic and smart -- the kid is sort of like a fourteen-year old Ferris Bueller .",positive,1
Monte Cristo smartly emphasizes the well-wrought story and omits needless chase scenes and swordfights as the revenge unfolds .,positive,1
An already thin story boils down to surviving invaders seeking an existent anti-virus .,negative,1
One gets the impression the creators of Do n't Ask Do n't Tell laughed a hell of a lot at their own jokes .,neutral,1
"A pint-sized ` Goodfellas ' designed to appeal to the younger set , it 's not a very good movie in any objective sense , but it does mostly hold one 's interest .",neutral,1
( Woo 's ) most resonant film since The Killer .,positive,1
"Broomfield is energized by Volletta Wallace 's maternal fury , her fearlessness , and because of that , his film crackles .",positive,1
`` Red Dragon '' is entertaining .,positive,1
"It 's definitely not made for kids or their parents , for that matter , and I think even fans of Sandler 's comic taste may find it uninteresting .",negative,1
"Anyone who 's ever suffered under a martinet music instructor has no doubt fantasized about what an unhappy , repressed and twisted personal life their tormentor deserved .",neutral,1
"While the filmmaking may be a bit disjointed , the subject matter is so fascinating that you wo n't care .",positive,1
It strikes hardest ... when it reminds you how pertinent its dynamics remain .,positive,1
"Examines its explosive subject matter as nonjudgmentally as Wiseman 's previous studies of inner-city high schools , hospitals , courts and welfare centers .",neutral,1
"This is a monumental achievement in practically every facet of inept filmmaking : joyless , idiotic , annoying , heavy-handed , visually atrocious , and often downright creepy .",negative,1
